N,AVL,Rubro-Negra,ArvoreB1,ArvoreB5,ArvoreB10
1,1,0,12,10,10
2,4,2,29,28,36
3,7,4,48,45,54
4,11,9,67,63,80
5,18,20,86,80,103
6,20,27,105,95,131
7,25,31,127,117,148
8,31,40,147,137,175
9,39,53,166,161,209
10,51,71,190,175,238
11,45,66,210,205,258
12,55,78,231,222,284
13,75,120,254,245,297
14,74,116,274,259,327
15,69,125,296,280,342
16,76,130,316,302,388
17,81,159,339,336,410
18,89,164,359,345,463
19,95,190,383,375,470
20,130,192,407,390,485
21,116,187,427,422,523
22,123,203,448,430,551
23,135,219,472,453,571
24,137,241,494,467,606
25,137,240,517,507,644
26,143,260,544,527,664
27,187,263,559,550,668
28,183,257,583,558,702
29,156,271,604,586,735
30,167,342,633,597,787
31,186,309,653,619,794
32,234,361,674,664,822
33,193,336,696,679,862
34,198,341,720,697,890
35,297,382,750,737,907
36,232,417,769,737,953
37,244,401,797,782,964
38,285,437,820,800,1025
39,288,485,830,796,1018
40,294,404,864,834,1088
41,261,442,886,855,1114
42,282,462,905,889,1150
43,344,541,932,915,1151
44,271,513,957,936,1182
45,294,516,978,961,1222
46,344,548,1000,965,1261
47,345,543,1022,1006,1266
48,339,597,1045,1010,1274
49,345,576,1071,1036,1313
50,326,569,1093,1059,1366
51,451,616,1118,1097,1365
52,384,645,1143,1114,1385
53,444,685,1168,1152,1438
54,387,673,1186,1145,1442
55,397,646,1205,1169,1468
56,444,749,1237,1206,1508
57,413,684,1264,1225,1521
58,404,698,1280,1252,1524
59,435,735,1309,1277,1573
60,419,741,1333,1276,1649
61,429,797,1354,1304,1670
62,448,750,1383,1332,1704
63,448,777,1401,1348,1732
64,479,834,1420,1414,1749
65,484,777,1445,1426,1820
66,570,909,1472,1425,1807
67,504,870,1504,1451,1842
68,523,897,1521,1486,1905
69,575,946,1552,1484,1902
70,531,965,1568,1537,1920
71,582,943,1596,1551,1933
72,580,923,1619,1579,1990
73,525,938,1644,1601,1999
74,547,940,1663,1599,2070
75,564,976,1692,1646,2029
76,597,1021,1728,1677,2127
77,576,1005,1737,1702,2169
78,659,1024,1763,1745,2174
79,621,1063,1787,1726,2214
80,647,1040,1816,1757,2248
81,772,1094,1855,1794,2242
82,675,1129,1858,1816,2309
83,644,1110,1889,1860,2324
84,693,1215,1928,1876,2378
85,672,1184,1936,1877,2355
86,704,1200,1960,1923,2352
87,674,1172,1982,1920,2442
88,664,1163,2004,1964,2494
