N,Sequencial,Sentinela,Binaria,Interpolacao
1,2,2,2,2
2,3,2,3,6
3,3,2,2,6
4,4,3,5,6
5,5,3,4,8
6,6,4,4,9
7,7,4,5,8
8,8,5,5,8
9,9,5,6,7
10,9,5,5,8
11,10,6,5,9
12,11,6,5,9
13,12,7,6,12
14,13,7,6,8
15,15,8,7,6
16,15,8,8,13
17,16,9,6,15
18,18,10,8,9
19,19,10,8,10
20,18,10,8,12
21,20,11,7,11
22,22,12,8,7
23,23,12,7,8
24,23,12,9,8
25,25,13,9,8
26,26,14,9,7
27,26,14,9,11
28,27,14,9,8
29,29,15,9,16
30,29,15,9,8
31,31,16,9,8
32,31,16,9,12
33,33,17,9,11
34,34,18,10,10
35,34,18,9,8
36,36,19,10,10
37,36,19,10,10
38,38,20,10,11
39,38,20,10,12
40,39,20,10,7
41,40,21,10,10
42,42,22,10,13
43,42,22,10,13
44,45,23,12,11
45,43,22,11,11
46,46,24,11,11
47,48,25,10,10
48,46,24,10,13
49,49,25,11,14
50,49,25,11,10
51,51,26,11,12
52,51,26,11,16
53,52,27,11,14
54,51,26,12,10
55,53,27,11,11
56,54,28,11,12
57,56,29,11,9
58,56,29,11,13
59,60,31,12,11
60,60,31,12,10
61,60,31,12,10
62,60,31,12,17
63,62,32,12,12
64,63,32,12,13
65,65,33,12,11
66,65,33,12,12
67,66,34,13,9
68,67,34,13,11
69,68,35,12,16
70,72,37,12,13
71,71,36,12,11
72,72,37,12,11
73,72,37,13,18
74,72,37,12,9
75,74,38,13,11
76,77,39,13,11
77,78,40,12,14
78,77,39,13,16
79,80,41,12,13
80,79,40,13,11
81,79,40,12,15
82,81,41,13,13
83,81,41,13,11
84,85,43,13,11
85,84,43,12,16
86,84,43,14,14
87,91,46,13,16
88,88,45,14,13
89,91,46,14,9
90,88,45,13,16
91,92,47,14,17
92,93,47,14,10
93,93,47,13,18
94,92,47,13,14
95,93,47,14,11
96,95,48,13,10
97,99,50,13,13
98,96,49,14,12
99,94,48,13,12
100,101,51,14,10
101,101,51,13,14
102,104,53,14,13
103,100,51,14,15
104,105,53,14,17
105,102,52,14,13
106,104,53,14,11
107,106,54,14,9
108,103,52,14,13
109,109,55,13,12
110,111,56,13,9
111,112,57,15,14
112,112,57,14,13
113,114,58,14,15
114,113,57,14,15
115,115,58,14,14
116,118,60,13,13
117,111,56,14,13
118,117,59,14,11
119,117,59,14,10
120,118,60,14,13
121,117,59,14,13
122,121,61,14,17
123,122,62,14,13
124,124,63,14,13
125,121,61,14,16
126,125,63,14,10
127,122,62,14,12
128,126,64,14,10
129,124,63,14,13
130,126,64,15,10
131,131,66,14,12
132,134,68,15,17
133,136,69,15,13
134,130,66,15,13
135,133,67,14,16
136,133,67,15,13
137,133,67,14,15
138,137,69,15,16
139,135,68,14,14
140,139,70,15,15
141,138,70,15,15
142,144,73,15,12
143,140,71,15,13
144,145,73,15,18
145,145,73,15,12
146,144,73,15,14
147,153,77,15,17
148,151,76,15,14
149,151,76,15,17
150,151,76,15,14
151,150,76,15,12
152,150,76,15,16
153,156,79,15,20
154,160,81,15,14
155,157,79,15,18
156,150,76,16,15
157,156,79,16,16
158,156,79,15,16
159,159,80,16,13
160,162,82,16,17
161,161,81,16,16
162,162,82,16,11
163,162,82,15,17
164,165,83,15,12
165,164,83,16,13
166,168,85,15,19
167,164,83,16,14
168,168,85,16,15
169,178,90,16,14
170,172,87,16,16
171,171,86,16,12
172,172,87,16,19
173,169,85,16,12
174,169,85,16,14
175,183,92,16,17
176,175,88,16,16
177,171,86,16,12
178,180,91,17,18
179,183,92,16,15
180,182,92,16,12
181,180,91,16,14
182,186,94,16,18
183,185,93,16,12
184,185,93,16,11
185,185,93,16,17
186,186,94,16,14
187,188,95,16,20
188,191,96,16,19
189,185,93,16,14
190,187,94,16,12
191,188,95,16,14
192,193,97,16,14
193,187,94,16,13
194,192,97,16,18
195,193,97,16,15
196,196,99,16,12
197,200,101,16,11
198,196,99,16,14
199,196,99,16,15
200,196,99,17,13
201,205,103,16,14
202,202,102,16,13
203,201,101,16,11
204,198,100,17,15
205,201,101,16,15
206,214,108,17,14
207,209,105,16,18
208,208,105,16,14
209,210,106,16,18
210,214,108,17,16
211,200,101,16,13
212,207,104,17,15
213,214,108,17,17
214,213,107,17,14
215,211,106,17,17
216,215,108,17,13
217,219,110,17,15
218,214,108,17,13
219,221,111,17,18
220,218,110,17,15
221,221,111,17,13
222,227,114,17,17
223,235,118,16,15
224,224,113,17,18
225,221,111,17,17
226,226,114,17,18
227,225,113,17,16
228,221,111,17,14
229,235,118,17,13
230,229,115,17,14
231,233,117,17,14
232,236,119,17,15
233,233,117,17,17
234,233,117,17,16
235,227,114,17,16
236,233,117,17,15
237,236,119,17,13
238,241,121,17,16
239,242,122,17,16
240,240,121,17,15
241,240,121,17,15
242,244,123,18,13
243,242,122,17,16
244,244,123,17,17
245,249,125,17,16
246,240,121,17,16
247,247,124,17,17
248,248,125,17,13
249,250,126,17,17
250,248,125,17,14
251,252,127,17,18
252,257,129,17,18
253,249,125,17,11
254,255,128,17,15
255,263,132,17,12
256,257,129,17,12
257,256,129,17,15
258,256,129,17,14
259,264,133,18,13
260,252,127,17,16
261,267,134,18,18
262,264,133,17,14
263,263,132,17,18
264,266,134,17,15
265,270,136,18,17
266,256,129,17,17
267,268,135,18,13
268,273,137,18,14
269,275,138,18,17
270,267,134,17,11
271,266,134,18,13
272,259,130,17,16
273,266,134,17,11
274,273,137,17,15
275,279,140,18,19
276,269,135,18,14
277,276,139,17,17
278,279,140,18,15
279,280,141,18,17
280,279,140,17,14
281,279,140,18,13
282,284,143,18,14
283,274,138,18,18
284,291,146,18,17
285,292,147,18,17
286,294,148,18,13
287,289,145,18,15
288,294,148,18,15
289,277,139,18,17
290,296,149,18,15
291,294,148,18,13
292,292,147,18,15
293,298,150,18,15
294,295,148,18,14
295,295,148,18,18
296,299,150,18,16
297,299,150,18,17
298,302,152,18,13
299,299,150,18,14
300,299,150,19,15
301,300,151,18,17
302,299,150,18,14
303,310,156,18,11
304,307,154,18,16
305,307,154,18,17
306,310,156,18,13
307,301,151,18,17
308,312,157,18,12
309,311,156,18,17
310,314,158,19,18
311,308,155,18,14
312,312,157,18,12
313,313,157,18,15
314,321,161,18,15
315,315,158,19,14
316,314,158,18,15
317,314,158,19,14
318,318,160,18,15
319,315,158,18,18
320,315,158,18,17
321,315,158,18,15
322,318,160,18,15
323,320,161,18,15
324,319,160,18,15
325,323,162,19,14
326,327,164,19,21
327,321,161,18,17
328,329,165,19,14
329,331,166,18,17
330,334,168,18,13
331,333,167,18,17
332,337,169,19,15
333,332,167,19,17
334,334,168,19,14
335,337,169,18,17
336,345,173,19,16
337,326,164,19,13
338,337,169,19,16
339,344,173,19,17
340,340,171,19,13
341,344,173,19,17
342,343,172,19,16
343,347,174,19,16
344,344,173,19,14
345,353,177,19,19
346,348,175,19,21
347,342,172,19,19
348,358,180,19,18
349,356,179,18,12
350,352,177,19,13
351,358,180,19,16
352,352,177,19,17
353,362,182,19,15
354,353,177,19,15
355,360,181,19,17
356,364,183,19,15
357,358,180,19,16
358,352,177,19,15
359,352,177,18,16
360,361,181,19,15
361,364,183,19,15
362,362,182,19,17
363,363,182,19,17
364,356,179,19,17
365,372,187,19,13
366,361,181,19,14
367,376,189,19,17
368,368,185,19,16
369,363,182,19,18
370,360,181,19,15
371,363,182,19,13
372,362,182,19,14
373,373,187,19,13
374,381,191,19,16
375,380,191,19,16
376,381,191,19,12
377,381,191,19,19
378,382,192,19,15
379,382,192,19,20
380,379,190,19,14
381,392,197,19,15
382,377,189,19,17
383,376,189,19,15
384,384,193,19,18
385,386,194,19,15
386,377,189,19,15
387,395,198,19,14
388,381,191,19,16
389,386,194,19,16
390,396,199,19,18
391,383,192,19,16
392,369,185,19,17
393,385,193,19,16
394,395,198,19,14
395,390,196,19,16
396,382,192,19,17
397,396,199,19,15
398,402,202,19,15
399,395,198,19,15
400,395,198,20,19
401,400,201,19,17
402,408,205,19,20
403,405,203,19,14
404,395,198,19,17
405,423,212,19,19
406,410,206,19,17
407,411,206,19,15
408,412,207,19,15
409,388,195,19,17
410,413,207,19,15
411,409,205,20,15
412,407,204,19,20
413,396,199,20,16
414,416,209,20,15
415,416,209,19,17
416,423,212,20,17
417,414,208,19,13
418,411,206,20,15
419,416,209,19,17
420,422,212,20,16
421,409,205,19,18
422,431,216,19,18
423,405,203,19,21
424,443,222,20,16
425,423,212,20,17
426,421,211,19,15
427,433,217,20,19
428,423,212,19,13
429,431,216,20,16
430,431,216,19,17
431,431,216,20,15
432,430,216,19,11
433,421,211,19,16
434,445,223,20,20
435,446,224,19,13
436,428,215,20,15
437,429,215,20,16
438,449,225,19,14
439,434,218,20,16
440,427,214,20,14
441,435,218,19,17
442,442,222,20,16
443,442,222,20,13
444,440,221,20,15
445,454,228,20,15
446,456,229,20,16
447,434,218,20,18
448,455,228,20,19
449,451,226,20,15
450,441,221,20,15
451,442,222,20,17
452,446,224,19,17
453,459,230,20,18
454,455,228,20,19
455,464,233,20,18
456,457,229,20,14
457,455,228,20,15
458,456,229,20,19
459,456,229,20,14
460,450,226,20,18
461,472,237,20,17
462,461,231,20,15
463,452,227,20,19
464,453,227,20,17
465,463,232,20,15
466,466,234,20,14
467,461,231,20,16
468,456,229,20,15
469,471,236,20,17
470,466,234,20,16
471,484,243,20,16
472,472,237,20,15
473,467,234,20,13
474,469,235,20,14
475,472,237,20,15
476,455,228,20,14
477,497,249,20,16
478,477,239,20,17
479,470,236,20,17
